Prompt,Response
Write a function to perform the mathematical bitwise xor operation across the given tuples.,"The function should return a tuple with the result of the bitwise xor operation.

Examples
bitwise_xor((10, 0, 0, 1), (1, 1, 1, 1)) ➞ (11, 1, 1, 0)

bitwise_xor((1, 1, 1, 1, 1), (0, 1, 1, 1, 1)) ➞ (1, 0, 0, 0, 0)

bitwise_xor((1, 0, 1, 0, 1, 0), (0, 1, 0, 1, 0, 1)) ➞ (1, 1, 1, 1, 1, 1)

Notes
The given tuples are non-empty.
The bitwise xor operation must be performed on the binary representations of the numbers.
""""""


def bitwise_xor(a, b):
    return tuple(x ^ y for x, y in zip(a, b))


print(bitwise_xor((10, 0, 0, 1), (1, 1, 1, 1)))
print(bitwise_xor((1, 1, 1, 1, 1), (0, 1, 1, 1, 1)))
print(bitwise_xor((1, 0, 1, 0, 1, 0), (0, 1, 0, 1, 0, 1)))"
Write a function to extract the number of unique tuples in the given list.,"Input:

[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

Output:

10"
Write a function to perform index wise addition of tuple elements in the given two nested tuples.,"Input Format:

The first line of input contains the number of test cases T.

The first line of each test case contains the number of elements in the tuple.

The second line of each test case contains the elements of the first tuple.

The third line of each test case contains the elements of the second tuple.

Output Format:

For each test case, print the index wise addition of the two tuples.

Sample Input:

1

4

1 2 3 4

5 6 7 8

Sample Output:

6 8 10 12

Explanation:

The first tuple is (1, 2, 3, 4) and the second tuple is (5, 6, 7, 8).

The index wise addition of the two tuples is (1 + 5, 2 + 6, 3 + 7, 4 + 8) = (6, 8, 10, 12)."
Write a python function to find the minimum of two numbers.,"def min(a,b):
    if a<b:
        return a
    else:
        return b

a=int(input(""Enter the first number: ""))
b=int(input(""Enter the second number: ""))
print(""The minimum of two numbers is: "",min(a,b))"
Write a function to check whether an element exists within a tuple.,"def check_element(tup, element):
    if element in tup:
        return True
    else:
        return False

tup = (1, 2, 3, 4, 5)
element = 3
print(check_element(tup, element))"
Write a python function to find whether the parity of a given number is odd.,
Write a function to create the next bigger number by rearranging the digits of a given number.,"For example, the next bigger number of 123 is 132.

The next bigger number of 12345 is 12354.

The next bigger number of 123456 is 123465.

The next bigger number of 1234567 is 1234675.

The next bigger number of 12345678 is 12345768.

The next bigger number of 123456789 is 123456879.

If the given number is the biggest number that can be formed, the function should return -1.

Examples

nextBigger(12)==21
nextBigger(513)==531
nextBigger(2017)==2071
nextBigger(414)==441
nextBigger(144)==414"
Write a function to find k number of smallest pairs which consist of one element from the first array and one element from the second array.,"Example 1:

Input:
nums1 = [1, 7, 11]
nums2 = [2, 4, 6]
k = 3
Output:
[1, 2], [1, 4], [1, 6]
Explanation:
The first 3 pairs are returned from the sequence:
[1, 2], [1, 4], [1, 6], [7, 2], [7, 4], [11, 2], [7, 6], [11, 4], [11, 6]
Example 2:

Input:
nums1 = [1, 1, 2]
nums2 = [1, 2, 3]
k = 2
Output:
[1, 1], [1, 1]
Explanation:
The first 2 pairs are returned from the sequence:
[1, 1], [1, 1], [1, 2], [2, 1], [1, 2], [2, 2], [1, 3], [1, 3], [2, 3]
Example 3:

Input:
nums1 = [1, 2]
nums2 = [3]
k = 3
Output:
[1, 3], [2, 3]
Explanation:
All possible pairs are returned from the sequence:
[1, 3], [2, 3]"
Write a function to find the minimum product from the pairs of tuples within a given list.,"Input: [(1, 2), (3, 4), (5, 6)]

Output: 12

Explanation: (1, 2) = 2, (3, 4) = 12, (5, 6) = 30, Minimum product is 12"
Write a function to find the minimum value in a given heterogeneous list.,"Example:

Input: [10, 20, 30, 40, 50, 60, 70, 80, 90, 100]
Output: 10

Input: [10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
Output: 1

Input: [10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, ""a"", ""b"", ""c"", ""d"", ""e"", ""f"", ""g"", ""h"", ""i"", ""j""]
Output: 1

Input: [10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, ""a"", ""b"", ""c"", ""d"", ""e"", ""f"", ""g"", ""h"", ""i"", ""j"", 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 1.10]
Output: 1

Input: [10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, ""a"", ""b"", ""c"", ""d"", ""e"", ""f"", ""g"", ""h"", ""i"","
Write a function to convert the given snake case string to camel case string.,"Input:

The input string contains only lowercase alphabets and spaces.

Output:

Print the camel case string.

Example:

Input:

snake case string

Output:

snakeCaseString

*/

#include <iostream>
#include <string>
using namespace std;

int main()
{
    string str;
    getline(cin, str);
    for (int i = 0; i < str.length(); i++)
    {
        if (str[i] == ' ')
        {
            str[i + 1] = toupper(str[i + 1]);
        }
    }
    for (int i = 0; i < str.length(); i++)
    {
        if (str[i] == ' ')
        {
            str.erase(i, 1);
        }
    }
    cout << str;
    return 0;
}"
Write a python function to remove odd numbers from a given list.,"Sample List : [1,2,3,4,5,6,7,8,9]
Expected Result : [2, 4, 6, 8]

""""""

def remove_odd(lst):
    return [i for i in lst if i%2==0]

print(remove_odd([1,2,3,4,5,6,7,8,9]))"
Write a function to extract the nth element from a given list of tuples.,"Example:

Input: [(1, 2), (3, 4), (5, 6)]
Output: 3

""""""

def extract_nth_element(lst, n):
    return [x[n] for x in lst]

print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 0))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 1))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 2))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 3))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 4))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 5))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 6))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 7))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 8))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 9))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 10))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 11))
print(extract_nth_element([(1, 2), (3, 4), (5, 6)], 12))
print(extract_nth_element([(1,"
Write a python function to check whether any value in a sequence exists in a sequence or not.,"Sample Input:

[1,2,3,4,5,6,7,8,9,10]

[1,2,3,4,5,6,7,8,9,10]

Sample Output:

True

Explanation:

1 is present in both the sequences."
Write a python function to find a pair with highest product from a given array of integers.,"Examples:

Input: arr[] = {1, 2, 3, 4, 7, 0}
Output: {7, 3}

Input: arr[] = {0, -1, -2}
Output: {-1, 0}

Input: arr[] = {-1, 4, -3, 2, 3}
Output: {-3, -1}

Input: arr[] = {-1, 0}
Output: {0, -1}

Input: arr[] = {1, -3, 4, 2}
Output: {4, 1}

Input: arr[] = {-1, -3, 4, 2}
Output: {4, -1}

Input: arr[] = {1, 2, 3, 4, 7, 0, -1, -2}
Output: {7, 4}

Input: arr[] = {1, 2, 3, 4, 7, 0, -1, -2, -3}
Output: {7, 4}

Input: arr[] = {1, 2, 3, 4, 7, 0, -1, -2, -3, -4}
Output: {7, 4}

Input: arr[] = {1, 2, 3, 4, 7, 0, -1, -2, -3, -4, -5}
Output: {7, 4}

Input: arr[] = {1, 2, 3, 4, 7, 0, -1, -2, -3, -4, -5, -6}
Output: {7, 4}

Input: arr[] = {1, 2, 3, 4, 7, 0, -1, -2, -3, -4, -5, -6, -7}
Output: {7, 4}

Input: arr[] = {1, 2, 3, 4, 7, 0, -1, -2, -3, -4, -5, -6, -7, -8}"
Write a function to find common first element in given list of tuple.,"Input: [(1, 2, 3), (4, 5, 6), (7, 8, 9)]
Output: 1

Input: [(1, 2, 3), (1, 2, 3), (1, 2, 3)]
Output: 1

Input: [(1, 2, 3), (4, 5, 6), (7, 8, 10)]
Output: None

Input: [(1, 2, 3), (1, 2, 3), (1, 3, 6)]
Output: 1

Input: [(1, 2, 3), (4, 5, 6), (7, 8, 9), (7, 8, 9)]
Output: 7

Input: [(1, 2, 3), (1, 2, 3), (1, 3, 6), (7, 8, 9)]
Output: 1

Input: [(1, 2, 3), (1, 2, 3), (1, 3, 6), (7, 8, 9), (7, 8, 9)]
Output: 7

Input: [(1, 2, 3), (1, 2, 3), (1, 3, 6), (7, 8, 9), (7, 8, 9), (7, 8, 9)]
Output: 7

Input: [(1, 2, 3), (1, 2, 3), (1, 3, 6), (7, 8, 9), (7, 8, 9), (7, 8, 9), (7, 8, 9)]
Output: 7

Input: [(1, 2, 3), (1, 2, 3), (1, 3, 6), (7, 8, 9), (7, 8, 9), (7, 8, 9), (7, 8, 9), (7, 8, 9)]
Output:"
Write a python function to find the element of a list having maximum length.,"Input:

[‘abc’, ‘def’, ‘ghi’, ‘jkl’, ‘mno’]

Output:

‘jkl’"
Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.,"Round downwards to the nearest integer.

Example

For [1.1, 2.1, 3.9], the output should be
roundAndSum(inputArray) = 13.

The sum of the rounded values is 6.1 + 7.1 + 3.9 = 13.1. The answer should be rounded down to the nearest integer, that is, 13.

Input/Output

[execution time limit] 4 seconds (py3)

[input] array.float inputArray

An array of real numbers.

Guaranteed constraints:
0 ≤ inputArray.length ≤ 10,
0 ≤ inputArray[i] ≤ 100.

[output] integer

The rounded and summed total."
Write a python function to find the cube sum of first n even natural numbers.,"def cube_sum(n):
    sum = 0
    for i in range(1, n+1):
        sum += i**3
    return sum

n = int(input(""Enter a number: ""))
print(""The cube sum of first"", n, ""even natural numbers is"", cube_sum(n))"
Write a function to concatenate each element of tuple by the delimiter.,"Input:

tuple = ('a', 'b', 'c', 'd')
delimiter = '*'

Output:

a*b*c*d"
Write a python function to find the average of cubes of first n natural numbers.,"def cubes(n):
    sum=0
    for i in range(1,n+1):
        sum=sum+i**3
    return sum

n=int(input(""Enter the number:""))
print(""The sum of cubes of first"",n,""natural numbers is"",cubes(n))"
Write a function to extract only the rear index element of each string in the given tuple.,"Given:

tuple1 = (1,2,3,4)
tuple2 = (""p"",""q"")
tuple3 = (10,20,30,40)
Expected output:

(4,)
('q',)
(40,)"
Write a function to count the number of sublists containing a particular element.,"def count_sublists(lst, element):
    count = 0
    for sublist in lst:
        if element in sublist:
            count += 1
    return count

# Test the function
lst = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]
element = 5
print(count_sublists(lst, element))  # Output: 1"
Write a function to filter odd numbers.,"function filterOddNumbers(numbers) {
  return numbers.filter(function(number) {
    return number % 2 !== 0;
  });
}

// Test cases
console.log(filterOddNumbers([1, 2, 3, 4, 5])); // [1, 3, 5]
console.log(filterOddNumbers([2, 4, 6, 8, 10])); // []
console.log(filterOddNumbers([1, 3, 5, 7, 9])); // [1, 3, 5, 7, 9]"
Write a function to convert a date of yyyy-mm-dd format to dd-mm-yyyy format.,"Example

Input: 2022-04-20

Output: 20-04-2022

Input: 2021-12-31

Output: 31-12-2021

Input: 2020-01-01

Output: 01-01-2020

Input: 2019-10-09

Output: 09-10-2019

Input: 2018-05-22

Output: 22-05-2018

Input: 2017-06-11

Output: 11-06-2017

Input: 2016-07-23

Output: 23-07-2016

Input: 2015-08-04

Output: 04-08-2015

Input: 2014-09-15

Output: 15-09-2014

Input: 2013-10-26

Output: 26-10-2013

Input: 2012-11-07

Output: 07-11-2012

Input: 2011-12-18

Output: 18-12-2011

Input: 2010-01-29

Output: 29-01-2010

Input: 2009-02-10

Output: 10-02-2009

Input: 2008-03-21

Output: 21-03-2008

Input: 2007-04-02

Output: 02-04-2007

Input: 2006-05-13

Output: 13-05-200"
Write a function to sort the given array by using shell sort.,"Input:

The first line of input contains an integer T denoting the number of test cases.
The first line of each test case is N, size of array.
The second line of each test case contains N input A[i].

Output:

Print the sorted array.

Constraints:

1 ≤ T ≤ 50
1 ≤ N ≤ 100
1 ≤ A[i] ≤ 1000

Example:

Input:
2
5
10 2 1 45 3
6
10 9 8 7 6 5

Output:
1 2 10 45 3
5 6 7 8 9 10

Explanation:
Testcase 1: After sorting elements are in the following order. 1, 2, 3, 10, 45.

*/

#include <iostream>
using namespace std;

void shellSort(int arr[], int n)
{
    for (int gap = n / 2; gap > 0; gap /= 2)
    {
        for (int i = gap; i < n; i++)
        {
            int temp = arr[i];
            int j;
            for (j = i; j >= gap && arr[j - gap] > temp; j -= gap)
            {
                arr[j] = arr[j - gap];
            }
            arr[j] = temp;
        }
    }
}

int main()
{
    int t;
    cin >> t;
    while (t--)
    {
        int n;
        cin >> n;
        int arr[n];
        for (int i = 0; i < n; i++)
        {
            cin >> arr[i];
        }
        shellSort(arr, n);
        for (int i = 0; i < n; i++)
        {
            cout << arr[i] << "" "";
        }
        cout << endl;
    }
    return 0;
}"
Write a function to extract the elementwise and tuples from the given two tuples.,"Input Format:

The first line of input contains the number of test cases T.

The first line of each test case contains the number of elements in the first tuple.

The second line of each test case contains the elements of the first tuple.

The third line of each test case contains the number of elements in the second tuple.

The fourth line of each test case contains the elements of the second tuple.

Output Format:

For each test case, print the elementwise and tuples.

Sample Input:

1

4

1 2 3 4

3

5 6 7

Sample Output:

(1, 5) (2, 6) (3, 7)

(1, 2, 3) (4,) (5, 6, 7)

Explanation:

The first tuple is (1, 2, 3, 4) and the second tuple is (5, 6, 7).

The elementwise and tuples are (1, 5) (2, 6) (3, 7) and (1, 2, 3) (4,) (5, 6, 7)."
Write a function to find the directrix of a parabola.,"The function should take the following parameters:

a: the coefficient of x^2
b: the coefficient of x
c: the constant term

The function should return the value of the directrix.

Examples

findDirectrix(1, -2, 1) ➞ 1

findDirectrix(1, -7, 12) ➞ 3

findDirectrix(1, 3, 2) ➞ -1

Notes

The graph will always be above the x-axis.

*/

#include <assert.h>
#include <stdio.h>
#include <stdlib.h>
#include <string.h>

#define MIN(a, b) (((a) < (b)) ? (a) : (b))
#define MAX(a, b) (((a) > (b)) ? (a) : (b))

int
findDirectrix(int a, int b, int c)
{
	double x;

	x = -b / (2.0 * a);
	return (int)x;
}

int
main(void)
{
	assert(findDirectrix(1, -2, 1) == 1);
	assert(findDirectrix(1, -7, 12) == 3);
	assert(findDirectrix(1, 3, 2) == -1);

	return 0;
}"
Write a function that takes two lists and returns true if they have at least one common element.,"Examples
common_elements([1, 2, 3], [4, 5, 6]) ➞ False

common_elements([1, 2, 3], [1, 2, 3]) ➞ True

common_elements([1, 2], [2, 3]) ➞ True

common_elements([1, 2, 3], [4, 5]) ➞ False

common_elements([1, 2, 3], [4, 5, 3]) ➞ True

common_elements([1, 2, 3], [3, 2, 1]) ➞ True
Notes
Don't forget to return the result.
If you get stuck on a challenge, find help in the Resources tab.
If you're really stuck, unlock solutions in the Solutions tab."
Write a function to find the median length of a trapezium.,"The function should take the length of the two parallel sides and the height as arguments and return the median length.

Examples
medianLength(1, 1, 1) ➞ 1

medianLength(2, 2, 2) ➞ 2

medianLength(2, 2, 1) ➞ 1.5

Notes
N/A
*/

function medianLength(a, b, c) {
	return (a + b) / 2 - c;
}

console.log(medianLength(1, 1, 1));
console.log(medianLength(2, 2, 2));
console.log(medianLength(2, 2, 1));"
Write a function to check whether the entered number is greater than the elements of the given array.,"Input:

Enter the size of the array: 5

Enter the elements of the array: 1 2 3 4 5

Enter the number to be compared: 6

Output:

The number is greater than the elements of the array."
Write a function that matches a string that has an a followed by one or more b's.,"function checkAB(str) {
  let regex = /a(b+)/;
  return regex.test(str);
}

checkAB(""lane Bbbbb"");"
Write a python function to find the last digit of a given number.,"Sample Input:
12345

Sample Output:
5

Explanation:
The last digit of the given number 12345 is 5."
Write a python function to return the negative numbers in a list.,"Sample Input

[1, -1, 2, -2, 3, -3, 4, -4]

Sample Output

[-1, -2, -3, -4]"
Write a function to remove odd characters in a string.,"Example:

Input: ""Hello World""
Output: ""HloWrd""

Input: ""Hello""
Output: ""Hlo""

Input: ""H""
Output: ""H""

Input: """"
Output: """"

Input: "" ""
Output: "" ""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!""

Input: ""Hello World!""
Output: ""HloWrld!"""
Write a function to count bidirectional tuple pairs.,"Input:

(1, 2), (2, 3), (3, 4)

Output:

2

Explanation:

(1, 2) and (2, 3) are bidirectional tuple pairs.

(3, 4) is not bidirectional tuple pair."
Write a function to join a list of multiple integers into a single integer.,"Example:

Input: [11, 222, 3333]

Output: 112223333

Input: [4, 3, 2, 5, 6]

Output: 43256"
Write a function to find the first adverb and their positions in a given sentence.,"Input:

The three musketeers are at the back of the room.

Output:

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers are at the back of the room.

The three musketeers"
Write a function to find the surface area of a cube of a given size.,
Write a function to find the ration of positive numbers in an array of integers.,"Example:

Input: [1,2,3,4,5,6,7,8,9,10,-11,-12,-13,-14,-15]
Output: 0.5

*/

function posNegRatio(arr) {
  let pos = 0;
  let neg = 0;
  for (let i = 0; i < arr.length; i++) {
    if (arr[i] > 0) {
      pos++;
    } else {
      neg++;
    }
  }
  return pos / neg;
}

console.log(posNegRatio([1, 2, 3, 4, 5, 6, 7, 8, 9, 10, -11, -12, -13, -14, -15]));"
Write a python function to find the largest negative number from the given list.,
Write a function to trim each tuple by k in the given tuple list.,"Input:

[(1, 2, 3, 4), (1, 2), ('a', 'b'), ('a', 'b', 'c'), ('d', 'e')]

Output:

[(1, 2), ('a', 'b'), ('a', 'b'), ('d', 'e')]"
Write a function to perform index wise multiplication of tuple elements in the given two tuples.,"Sample Input:

(1,2,3,4,5,6,7,8,9,10)
(1,2,3,4,5,6,7,8,9,10)

Sample Output:

(1,4,9,16,25,36,49,64,81,100)"
Write a python function to count the occurence of all elements of list in a tuple.,"Input:

list1 = [1,2,3,4,5,6,7,8,9,10]

tuple1 = (1,2,3,4,5,6,7,8,9,10)

Output:

{1: 2, 2: 2, 3: 2, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2, 10: 2}"
Write a function to find cubes of individual elements in a list.,"Input Format

A list of integers

Output Format

A list of cubes of individual elements in the input list

Sample Input

[1,2,3,4,5]

Sample Output

[1, 8, 27, 64, 125]

Explanation

Cubes of individual elements in the list are [1, 8, 27, 64, 125]"
Write a function to calculate the sum of perrin numbers.,"The Perrin numbers are generated by the following formula:

P(0) = 3;
P(1) = 0;
P(2) = 2;
P(n) = P(n-2) + P(n-3)

The first few Perrin numbers are:

6, 3, 2, 5, 4, 7, 8, 11, 12, 15, 16, 19, 20, 23, 24, 27, 28, 31, 32, 35, 36, 39, 40, 43, 44, 47, 48, 51, 52, 55, 56, 59, 60, 63, 64, 67, 68, 71, 72, 75, 76, 79, 80, 83, 84, 87, 88, 91, 92, 95, 96, 99, 100, 103, 104, 107, 108, 111, 112, 115, 116, 119, 120, 123, 124, 127, 128, 131, 132, 135, 136, 139, 140, 143, 144, 147, 148, 151, 152, 155, 156, 159, 160, 163, 164, 167, 168, 171, 172, 175, 176, 179, 180, 183, 184, 187, 188, 191, 192, 195,"
Write a function to extract specified size of strings from a given list of string values.,"If the size of the string is greater or equal to 3 and is a multiple of 3, add the string to the new list.

Return an empty list if there are no strings which satisfy the above conditions.


Examples

['Red', 'Green', 'Black', 'Orange', 'White']

3

['Red', 'Orange', 'White']

5

[]"
Write a function to remove all whitespaces from the given string.,"Example:

removeSpaces(""I love my dog"") ➞ ""Ilovemydog""

removeSpaces(""Georgia is a state in North America"") ➞ ""GeorgiaisastateinNorthAmerica""

removeSpaces(""The quick brown fox jumps over the lazy dog"") ➞ ""Thequickbrownfoxjumpsoverthelazydog""

Notes:

    The string will always have at least one word.
    There will be no double spaces.

*/

function removeSpaces(str) {
	return str.split(' ').join('');
}

console.log(removeSpaces('I love my dog'));
console.log(removeSpaces('Georgia is a state in North America'));
console.log(removeSpaces('The quick brown fox jumps over the lazy dog'));"
Write a function that gives loss amount on a sale if the given amount has loss else return 0.,"Input:

The function will take a single argument as a number.

Output:

The function must return a number.

Examples:

getLosses(1000) ➞ 0

getLosses(100) ➞ 10

getLosses(225) ➞ 25

getLosses(1425) ➞ 150

getLosses(4000) ➞ 1000

getLosses(25000) ➞ 12500

Notes:

N/A"
Write a python function to find the sum of even factors of a number.,"Sample Input:

10

Sample Output:

20

Explanation:

Even factors of 10 are 2, 4, 5, 10. Sum of these even factors is 20."
Write a function that matches a word containing 'z'.,"The function should check not only the 'z' character but also its neighbors.

Examples

zozooh

zozooh

zzzooz

zzzooz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zzzzzz

zz"
Write a function to check whether the given month number contains 31 days or not.,"Input:

Enter the month number: 1

Output:

31 days

Input:

Enter the month number: 2

Output:

28 days

Input:

Enter the month number: 12

Output:

31 days

Input:

Enter the month number: 11

Output:

30 days

Input:

Enter the month number: 10

Output:

31 days

Input:

Enter the month number: 9

Output:

30 days

Input:

Enter the month number: 8

Output:

31 days

Input:

Enter the month number: 7

Output:

31 days

Input:

Enter the month number: 6

Output:

30 days

Input:

Enter the month number: 5

Output:

31 days

Input:

Enter the month number: 4

Output:

30 days

Input:

Enter the month number: 3

Output:

31 days

Input:

Enter the month number: 2

Output:

28 days

Input:

Enter the month number: 1

Output:

31 days

Input:

Enter the month number: 13

Output:

Invalid input

Input:

Enter the month number: 0

Output:

Invalid input

Input:

Enter the month number: -1

Output:

Invalid input

Input:

Enter the month number: 1.5

Output:

Invalid input

Input:

Enter the month number: 1.5

Output:

Invalid input

Input:

Enter the month number: 1.5

Output:

Invalid input

Input:

Enter the month number: 1.5

Output:

Invalid input

Input:

Enter the month number: 1.5

Output:

Invalid input

Input:

Enter the month number: 1.5

Output:

Invalid"
Write a function to reverse each string in a given list of string values.,"Example:

Input: ['I', 'love', 'arrays', 'they', 'are', 'my', 'favorite']
Output: ['I', 'evol', 'sray', 'they', 'era', 'ym', 'etirovaf']"
Write a python function to find the sublist having minimum length.,"Input:

[1,2,3,4,5,6,7,8,9,10]

Output:

[1,2,3,4,5]

Explanation:

The sublist having minimum length is [1,2,3,4,5]"
Write a function to find the area of a rectangle.,"function areaOfRectangle(length, width) {
  return length * width;
}

console.log(areaOfRectangle(5, 10));"
Write a function to remove uppercase substrings from a given string.,"Example

For inputString = ""Hello, World"", the output should be
removeUppercaseSubstrings(inputString) = ""Hello, World"";
For inputString = ""Hello, WORLD"", the output should be
removeUppercaseSubstrings(inputString) = ""Hello, WORLD"".
Input/Output

[execution time limit] 4 seconds (js)

[input] string inputString

A string of lowercase and uppercase letters.

Guaranteed constraints:
1 ≤ inputString.length ≤ 100.

[output] string

A string of lowercase letters."
Write a python function to get the first element of each sublist.,"Sample Input:
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]

Sample Output:
[1, 4, 7]"
Write a python function to count the upper case characters in a given string.,"Sample String : 'The quick Brow Fox'

Expected Output : 3


def upper_case(string):
    count = 0
    for i in string:
        if i.isupper():
            count += 1
    return count


print(upper_case('The quick Brow Fox'))"
Write a function to find all possible combinations of the elements of a given list.,"Example:

Input: [1, 2, 3]

Output: [[1], [2], [3], [1, 2], [1, 3], [2, 3], [1, 2, 3]]"
Write a function to find the maximum product subarray of the given array.,"Example 1:

Input: [2, 3, -2, 4]
Output: 6
Explanation: [2, 3] has the largest product 6.
Example 2:

Input: [-2, 0, -1]
Output: 0
Explanation: The result cannot be 2, because [-2, -1] is not a subarray."
Write a function to check if all values are same in a dictionary.,"def all_same(d):
    return len(set(d.values())) == 1


print(all_same({'a': 1, 'b': 1, 'c': 1}))
print(all_same({'a': 1, 'b': 2, 'c': 1}))"
Write a function to drop empty items from a given dictionary.,"Input:

{
  ""name"": ""David"",
  ""class"": 6,
  ""subjects"": [""Math"", ""Physics"", ""English""]
}

Output:

{
  ""name"": ""David"",
  ""class"": 6,
  ""subjects"": [""Math"", ""Physics"", ""English""]
}"
